newspaper,category,title,url,content,date_scraped
Independent,Business,Sample Business Article 1 from Independent,https://www.independent.co.uk//sample-article-0,"This is sample content for a business article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important business topics in Zimbabwe. The economy of Zimbabwe has faced many challenges in recent years. Inflation, currency stability, and foreign investment are key concerns. ",2025-05-08
Independent,Business,Sample Business Article 2 from Independent,https://www.independent.co.uk//sample-article-1,"This is sample content for a business article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important business topics in Zimbabwe. The economy of Zimbabwe has faced many challenges in recent years. Inflation, currency stability, and foreign investment are key concerns. ",2025-05-08
Independent,Business,Sample Business Article 3 from Independent,https://www.independent.co.uk//sample-article-2,"This is sample content for a business article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important business topics in Zimbabwe. The economy of Zimbabwe has faced many challenges in recent years. Inflation, currency stability, and foreign investment are key concerns. ",2025-05-08
Independent,Business,Sample Business Article 4 from Independent,https://www.independent.co.uk//sample-article-3,"This is sample content for a business article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important business topics in Zimbabwe. The economy of Zimbabwe has faced many challenges in recent years. Inflation, currency stability, and foreign investment are key concerns. ",2025-05-08
Independent,Business,Sample Business Article 5 from Independent,https://www.independent.co.uk//sample-article-4,"This is sample content for a business article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important business topics in Zimbabwe. The economy of Zimbabwe has faced many challenges in recent years. Inflation, currency stability, and foreign investment are key concerns. ",2025-05-08
Independent,Politics,Sample Politics Article 1 from Independent,https://www.independent.co.uk//sample-article-0,This is sample content for a politics article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important politics topics in Zimbabwe. The political landscape in Zimbabwe continues to evolve. Government policies and opposition movements shape the national dialogue. ,2025-05-08
Independent,Politics,Sample Politics Article 2 from Independent,https://www.independent.co.uk//sample-article-1,This is sample content for a politics article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important politics topics in Zimbabwe. The political landscape in Zimbabwe continues to evolve. Government policies and opposition movements shape the national dialogue. ,2025-05-08
Independent,Politics,Sample Politics Article 3 from Independent,https://www.independent.co.uk//sample-article-2,This is sample content for a politics article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important politics topics in Zimbabwe. The political landscape in Zimbabwe continues to evolve. Government policies and opposition movements shape the national dialogue. ,2025-05-08
Independent,Politics,Sample Politics Article 4 from Independent,https://www.independent.co.uk//sample-article-3,This is sample content for a politics article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important politics topics in Zimbabwe. The political landscape in Zimbabwe continues to evolve. Government policies and opposition movements shape the national dialogue. ,2025-05-08
Independent,Politics,Sample Politics Article 5 from Independent,https://www.independent.co.uk//sample-article-4,This is sample content for a politics article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important politics topics in Zimbabwe. The political landscape in Zimbabwe continues to evolve. Government policies and opposition movements shape the national dialogue. ,2025-05-08
Independent,Arts/Culture/Celebrities,Sample Arts/Culture/Celebrities Article 1 from Independent,https://www.independent.co.uk//sample-article-0,"This is sample content for a arts/culture/celebrities article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important arts/culture/celebrities topics in Zimbabwe. Zimbabwean culture is rich with music, art, and traditional practices. Local celebrities and artists contribute to the cultural landscape. ",2025-05-08
Independent,Arts/Culture/Celebrities,Sample Arts/Culture/Celebrities Article 2 from Independent,https://www.independent.co.uk//sample-article-1,"This is sample content for a arts/culture/celebrities article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important arts/culture/celebrities topics in Zimbabwe. Zimbabwean culture is rich with music, art, and traditional practices. Local celebrities and artists contribute to the cultural landscape. ",2025-05-08
Independent,Arts/Culture/Celebrities,Sample Arts/Culture/Celebrities Article 3 from Independent,https://www.independent.co.uk//sample-article-2,"This is sample content for a arts/culture/celebrities article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important arts/culture/celebrities topics in Zimbabwe. Zimbabwean culture is rich with music, art, and traditional practices. Local celebrities and artists contribute to the cultural landscape. ",2025-05-08
Independent,Arts/Culture/Celebrities,Sample Arts/Culture/Celebrities Article 4 from Independent,https://www.independent.co.uk//sample-article-3,"This is sample content for a arts/culture/celebrities article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important arts/culture/celebrities topics in Zimbabwe. Zimbabwean culture is rich with music, art, and traditional practices. Local celebrities and artists contribute to the cultural landscape. ",2025-05-08
Independent,Arts/Culture/Celebrities,Sample Arts/Culture/Celebrities Article 5 from Independent,https://www.independent.co.uk//sample-article-4,"This is sample content for a arts/culture/celebrities article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important arts/culture/celebrities topics in Zimbabwe. Zimbabwean culture is rich with music, art, and traditional practices. Local celebrities and artists contribute to the cultural landscape. ",2025-05-08
Independent,Sports,Sample Sports Article 1 from Independent,https://www.independent.co.uk//sample-article-0,"This is sample content for a sports article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important sports topics in Zimbabwe. Sports play an important role in Zimbabwe, with cricket and football being popular. Athletes represent the nation in various international competitions. ",2025-05-08
Independent,Sports,Sample Sports Article 2 from Independent,https://www.independent.co.uk//sample-article-1,"This is sample content for a sports article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important sports topics in Zimbabwe. Sports play an important role in Zimbabwe, with cricket and football being popular. Athletes represent the nation in various international competitions. ",2025-05-08
Independent,Sports,Sample Sports Article 3 from Independent,https://www.independent.co.uk//sample-article-2,"This is sample content for a sports article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important sports topics in Zimbabwe. Sports play an important role in Zimbabwe, with cricket and football being popular. Athletes represent the nation in various international competitions. ",2025-05-08
Independent,Sports,Sample Sports Article 4 from Independent,https://www.independent.co.uk//sample-article-3,"This is sample content for a sports article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important sports topics in Zimbabwe. Sports play an important role in Zimbabwe, with cricket and football being popular. Athletes represent the nation in various international competitions. ",2025-05-08
Independent,Sports,Sample Sports Article 5 from Independent,https://www.independent.co.uk//sample-article-4,"This is sample content for a sports article from Independent. It contains enough text to be processed by the clustering algorithm. This article discusses important sports topics in Zimbabwe. Sports play an important role in Zimbabwe, with cricket and football being popular. Athletes represent the nation in various international competitions. ",2025-05-08
CNN,Business,Sample Business Article 1 from CNN,https://edition.cnn.com//sample-article-0,"This is sample content for a business article from CNN. It contains enough text to be processed by the clustering algorithm. This article discusses important business topics in Zimbabwe. The economy of Zimbabwe has faced many challenges in recent years. Inflation, currency stability, and foreign investment are key concerns. ",2025-05-08
CNN,Business,Sample Business Article 2 from CNN,https://edition.cnn.com//sample-article-1,"This is sample content for a business article from CNN. It contains enough text to be processed by the clustering algorithm. This article discusses important business topics in Zimbabwe. The economy of Zimbabwe has faced many challenges in recent years. Inflation, currency stability, and foreign investment are key concerns. ",2025-05-08
CNN,Business,Sample Business Article 3 from CNN,https://edition.cnn.com//sample-article-2,"This is sample content for a business article from CNN. It contains enough text to be processed by the clustering algorithm. This article discusses important business topics in Zimbabwe. The economy of Zimbabwe has faced many challenges in recent years. Inflation, currency stability, and foreign investment are key concerns. ",2025-05-08
